,MSID,Date,TestName,CaseTempDDM_C
2,RMD82423099ES,2024-07-01 00:02:09,HS_PAM4Test_VancB_Hot,69.15625
8,RMD8242309E5S,2024-07-01 00:03:52,HS_PAM4Test_VancB_Hot,70.66796875
16,RMD824230A89S,2024-07-01 00:12:19,HS_PAM4Test_VancB_Hot,70.30078125
24,RMD824230908S,2024-07-01 00:22:38,HS_PAM4Test_VancB_Hot,71.21875
34,RMD824230AAFS,2024-07-01 00:32:21,HS_PAM4Test_VancB_Hot,70.59375
35,RMD82421080FS,2024-07-01 00:32:34,HS_PAM4Test_VancB_Hot,70.890625
39,RMD824230911S,2024-07-01 00:36:21,HS_PAM4Test_VancB_Hot,69.55859375
53,RMD82421079CS,2024-07-01 00:52:58,HS_PAM4Test_VancB_Hot,69.96484375
57,RMD824230A90S,2024-07-01 00:58:18,HS_PAM4Test_VancB_Hot,69.484375
62,RMD824230A9BS,2024-07-01 01:03:36,HS_PAM4Test_VancB_Hot,70.4453125
70,RMD82421053CS,2024-07-01 01:11:15,HS_PAM4Test_VancB_Hot,69.85546875
72,RMD8242308DES,2024-07-01 01:16:32,HS_PAM4Test_VancB_Hot,69.32421875
78,RMD82421053CS,2024-07-01 01:20:17,HS_PAM4Test_VancB_Hot,69.99609375
83,RMD824230A92S,2024-07-01 01:29:01,HS_PAM4Test_VancB_Hot,69.59765625
90,RMD824230A0BS,2024-07-01 01:38:32,HS_PAM4Test_VancB_Hot,71.91015625
93,RMD824160570S,2024-07-01 01:41:45,HS_PAM4Test_VancB_Hot,70.26171875
98,RMD8242309E4S,2024-07-01 01:46:48,HS_PAM4Test_VancB_Hot,70.80859375
105,RMD824230A0BS,2024-07-01 01:54:40,HS_PAM4Test_VancB_Hot,70.15234375
113,RMD824230C33S,2024-07-01 02:01:40,HS_PAM4Test_VancB_Hot,73.0546875
117,RMD8242309C4S,2024-07-01 02:07:56,HS_PAM4Test_VancB_Hot,70.30078125
122,RMD82423099ES,2024-07-01 02:11:49,HS_PAM4Test_VancB_Hot,69.8515625
128,RMD824230B3FS,2024-07-01 02:18:22,HS_PAM4Test_VancB_Hot,71.19140625
133,RMD82421053CS,2024-07-01 02:22:49,HS_PAM4Test_VancB_Hot,69.21875
141,RMD8242309BAS,2024-07-01 02:32:19,HS_PAM4Test_VancB_Hot,69.640625
149,RMD824230A8CS,2024-07-01 02:55:44,HS_PAM4Test_VancB_Hot,70.0625
155,RMD82423099DS,2024-07-01 03:02:33,HS_PAM4Test_VancB_Hot,69.703125
157,RMD82418087DS,2024-07-01 03:07:00,HS_PAM4Test_VancB_Hot,72.64453125
165,RMD82421025AS,2024-07-01 03:10:40,HS_PAM4Test_VancB_Hot,70.53125
175,RMD82421025AS,2024-07-01 03:27:57,HS_PAM4Test_VancB_Hot,70.26953125
181,RMD82423094ES,2024-07-01 03:39:05,HS_PAM4Test_VancB_Hot,70.49609375
187,RMD82421079ES,2024-07-01 03:49:04,HS_PAM4Test_VancB_Hot,70.48046875
196,RMD824230A5CS,2024-07-01 03:54:00,HS_PAM4Test_VancB_Hot,69.31640625
207,RMD824230C1ES,2024-07-01 04:11:02,HS_PAM4Test_VancB_Hot,70.8125
209,RMD82423090ES,2024-07-01 04:15:25,HS_PAM4Test_VancB_Hot,70.921875
216,RMD824230C1ES,2024-07-01 04:25:25,HS_PAM4Test_VancB_Hot,70.546875
224,RMD824230C1FS,2024-07-01 04:33:40,HS_PAM4Test_VancB_Hot,69.26171875
229,RMD824230C1FS,2024-07-01 04:41:45,HS_PAM4Test_VancB_Hot,69.2265625
234,RMD824230A97S,2024-07-01 04:49:08,HS_PAM4Test_VancB_Hot,69.5
240,RMD824210673S,2024-07-01 04:54:33,HS_PAM4Test_VancB_Hot,69.92578125
249,GRMD824060178S,2024-07-01 06:04:44,DC_DDM_Test_VancB_Hot,68.546875
250,GRMD82406020AS,2024-07-01 06:06:40,DC_DDM_Test_VancB_Hot,69.453125
251,GRMD824060204S,2024-07-01 06:11:14,DC_DDM_Test_VancB_Hot,72.0546875
252,GRMD824060178S,2024-07-01 06:13:38,DC_DDM_Test_VancB_Hot,67.67578125
253,GRMD824060204S,2024-07-01 06:16:49,DC_DDM_Test_VancB_Hot,71.8671875
254,GRMD8242102D2S,2024-07-01 06:30:39,HS_PAM4Test_VancB_Hot,71.46484375
255,GRMD824190051S,2024-07-01 06:30:37,HS_PAM4Test_VancB_Hot,73.33984375
259,GRMD82418087CS,2024-07-01 06:30:40,HS_PAM4Test_VancB_Hot,68.375
277,RMD824230BC7S,2024-07-01 07:55:48,HS_PAM4Test_VancB_Hot,69.74609375
283,RMD824210329S,2024-07-01 07:56:03,HS_PAM4Test_VancB_Hot,68.703125
286,RMD82423096FS,2024-07-01 07:57:16,HS_PAM4Test_VancB_Hot,71.328125
295,RMD824230B0FS,2024-07-01 08:06:53,DC_DDM_Test_VancB_Hot,70.125
297,RMD8242107CBS,2024-07-01 08:03:16,HS_PAM4Test_VancB_Hot,70.96484375
317,RMD824230A4AS,2024-07-01 08:17:30,DC_DDM_Test_VancB_Hot,69.99609375
323,RMD824230C62S,2024-07-01 08:22:10,DC_DDM_Test_VancB_Hot,69.97265625
330,RMD824230915S,2024-07-01 08:24:12,HS_PAM4Test_VancB_Hot,69.3046875
331,RMD824230A4BS,2024-07-01 08:28:01,DC_DDM_Test_VancB_Hot,70.03125
339,RMD8241900EES,2024-07-01 08:34:43,HS_PAM4Test_VancB_Hot,70.15625
346,RMD8242103ACS,2024-07-01 08:46:09,HS_PAM4Test_VancB_Hot,69.9921875
350,RMD8242103ACS,2024-07-01 08:55:00,HS_PAM4Test_VancB_Hot,69.84765625
353,RMD8241900EES,2024-07-01 09:03:52,HS_PAM4Test_VancB_Hot,69.83203125
359,RMD8242103ACS,2024-07-01 09:13:32,HS_PAM4Test_VancB_Hot,69.95703125
364,RMD824230BC0S,2024-07-01 09:29:06,HS_PAM4Test_VancB_Hot,70.59375
383,RMD82421068DS,2024-07-01 09:36:06,HS_PAM4Test_VancB_Hot,69.2734375
386,RMD824230B87S,2024-07-01 09:36:17,HS_PAM4Test_VancB_Hot,69.19140625
404,RMD824230BC0S,2024-07-01 09:48:15,HS_PAM4Test_VancB_Hot,70.66796875
422,RMD824230B0FS,2024-07-01 09:58:28,DC_DDM_Test_VancB_Hot,70.05078125
426,RMD824230971S,2024-07-01 09:56:37,HS_PAM4Test_VancB_Hot,71.8984375
428,RMD82423090BS,2024-07-01 10:00:36,DC_DDM_Test_VancB_Hot,70.01953125
443,RMD824230A4BS,2024-07-01 10:12:25,DC_DDM_Test_VancB_Hot,69.828125
448,RMD82421068DS,2024-07-01 10:08:50,HS_PAM4Test_VancB_Hot,69.30859375
449,RMD824230B87S,2024-07-01 10:09:03,HS_PAM4Test_VancB_Hot,69.15625
451,RMD824230BC0S,2024-07-01 10:09:33,HS_PAM4Test_VancB_Hot,70.40234375
454,RMD824230971S,2024-07-01 10:09:18,HS_PAM4Test_VancB_Hot,71.1015625
489,RMD82423090BS,2024-07-01 10:41:29,DC_DDM_Test_VancB_Hot,70.140625
493,RMD824230A01S,2024-07-01 10:42:04,HS_PAM4Test_VancB_Hot,69.08984375
506,RMD824230AAES,2024-07-01 10:50:30,HS_PAM4Test_VancB_Hot,70.2578125
520,RMD82423086AS,2024-07-01 11:00:43,DC_DDM_Test_VancB_Hot,70.1484375
521,RMD824230AA4S,2024-07-01 11:01:11,DC_DDM_Test_VancB_Hot,69.87890625
525,RMD824210735S,2024-07-01 10:58:56,HS_PAM4Test_VancB_Hot,71.13671875
529,RMD8242309C0S,2024-07-01 11:02:49,HS_PAM4Test_VancB_Hot,70.01953125
546,RMD82423090BS,2024-07-01 11:15:09,DC_DDM_Test_VancB_Hot,69.90234375
555,RMD8241603B1S,2024-07-01 11:17:31,HS_PAM4Test_VancB_Hot,70.75390625
563,RMD824230C31S,2024-07-01 11:24:54,HS_PAM4Test_VancB_Hot,70.18359375
573,RMD824210735S,2024-07-01 11:30:19,HS_PAM4Test_VancB_Hot,71.02734375
578,RMD82421036BS,2024-07-01 11:33:36,HS_PAM4Test_VancB_Hot,69.30078125
583,RMD82423086AS,2024-07-01 11:42:14,DC_DDM_Test_VancB_Hot,69.98046875
587,RMD82421036BS,2024-07-01 11:52:55,HS_PAM4Test_VancB_Hot,69.08203125
591,RMD82421028DS,2024-07-01 12:01:19,HS_PAM4Test_VancB_Hot,71.0859375
596,RMD824190193S,2024-07-01 12:10:30,HS_PAM4Test_VancB_Hot,72.45703125
609,RMD824230B3BS,2024-07-01 12:30:15,HS_PAM4Test_VancB_Hot,70.98046875
623,RMD82423085CS,2024-07-01 12:47:05,DC_DDM_Test_VancB_Hot,69.953125
630,RMD824230A8BS,2024-07-01 12:50:36,HS_PAM4Test_VancB_Hot,71.21875
631,RMD824230868S,2024-07-01 12:55:11,DC_DDM_Test_VancB_Hot,69.609375
643,RMD82421036BS,2024-07-01 13:05:15,HS_PAM4Test_VancB_Hot,69.1875
661,RMD82423086AS,2024-07-01 13:30:45,DC_DDM_Test_VancB_Hot,69.81640625
664,RMD824230C31S,2024-07-01 13:29:34,HS_PAM4Test_VancB_Hot,69.96484375
677,RMD824230B3AS,2024-07-01 13:36:40,HS_PAM4Test_VancB_Hot,70.3359375
684,RMD824190193S,2024-07-01 13:39:09,HS_PAM4Test_VancB_Hot,72.1796875
685,RMD82423089AS,2024-07-01 13:44:10,DC_DDM_Test_VancB_Hot,69.6796875
694,RMD8242103DES,2024-07-01 13:43:07,HS_PAM4Test_VancB_Hot,71.1953125
703,RMD82423085CS,2024-07-01 13:54:21,DC_DDM_Test_VancB_Hot,70.0546875
713,RMD82423086AS,2024-07-01 14:01:27,DC_DDM_Test_VancB_Hot,69.81640625
717,RMD824230B3AS,2024-07-01 14:02:39,HS_PAM4Test_VancB_Hot,69.96484375
721,RMD82423085DS,2024-07-01 14:08:00,HS_PAM4Test_VancB_Hot,69.78125
729,RMD82423089BS,2024-07-01 14:13:30,HS_PAM4Test_VancB_Hot,71.31640625
738,RMD8242103DES,2024-07-01 14:18:49,HS_PAM4Test_VancB_Hot,71.93359375
752,RMD82423090AS,2024-07-01 14:25:24,HS_PAM4Test_VancB_Hot,70.8515625
766,RMD82423089BS,2024-07-01 14:31:21,HS_PAM4Test_VancB_Hot,70.69140625
770,RMD82423085DS,2024-07-01 14:31:57,HS_PAM4Test_VancB_Hot,69.7109375
771,RMD82423088FS,2024-07-01 14:38:31,DC_DDM_Test_VancB_Hot,69.87890625
787,RMD824230C03S,2024-07-01 14:41:09,HS_PAM4Test_VancB_Hot,72.08203125
788,RMD82423086AS,2024-07-01 14:47:06,DC_DDM_Test_VancB_Hot,69.9609375
789,RMD82423089AS,2024-07-01 14:47:28,DC_DDM_Test_VancB_Hot,70.0546875
800,RMD824230C04S,2024-07-01 14:54:05,HS_PAM4Test_VancB_Hot,70.8046875
807,RMD82421044BS,2024-07-01 15:02:38,HS_PAM4Test_VancB_Hot,69.3515625
816,RMD82423099BS,2024-07-01 15:18:57,HS_PAM4Test_VancB_Hot,70.19140625
819,RMD824160647S,2024-07-01 15:20:30,HS_PAM4Test_VancB_Hot,71.34375
824,RMD824230C03S,2024-07-01 15:29:44,HS_PAM4Test_VancB_Hot,70.6328125
833,RMD82419015BS,2024-07-01 15:46:06,HS_PAM4Test_VancB_Hot,73.4296875
835,RMD824190155S,2024-07-01 15:54:23,HS_PAM4Test_VancB_Hot,70.46484375
840,RMD824190155S,2024-07-01 16:19:14,HS_PAM4Test_VancB_Hot,70.30078125
866,RMD82421048FS,2024-07-01 16:48:42,HS_PAM4Test_VancB_Hot,68.6796875
869,RMD824210311S,2024-07-01 16:48:57,HS_PAM4Test_VancB_Hot,72.1015625
871,RMD824230B0FS,2024-07-01 16:50:29,HS_PAM4Test_VancB_Hot,70.52734375
882,RMD82423090FS,2024-07-01 17:03:12,DC_DDM_Test_VancB_Hot,69.8203125
893,RMD824230999S,2024-07-01 17:11:22,DC_DDM_Test_VancB_Hot,69.83203125
895,RMD824230868S,2024-07-01 17:08:52,HS_PAM4Test_VancB_Hot,69.6484375
901,RMD824230A8ES,2024-07-01 17:16:20,DC_DDM_Test_VancB_Hot,70.046875
909,RMD824230868S,2024-07-01 17:28:50,HS_PAM4Test_VancB_Hot,69.1015625
913,RMD824230AA4S,2024-07-01 17:29:33,HS_PAM4Test_VancB_Hot,71.46484375
921,RMD824230A4BS,2024-07-01 17:36:56,HS_PAM4Test_VancB_Hot,69.8984375
931,RMD82423089DS,2024-07-01 17:57:28,DC_DDM_Test_VancB_Hot,70.03125
936,GRMD824060178S,2024-07-01 18:14:20,DC_DDM_Test_VancB_Hot,68.37109375
937,GRMD82406020AS,2024-07-01 18:14:24,DC_DDM_Test_VancB_Hot,69.3828125
938,GRMD8240401BES,2024-07-01 18:14:26,DC_DDM_Test_VancB_Hot,71.39453125
939,GRMD824060204S,2024-07-01 18:14:29,DC_DDM_Test_VancB_Hot,72.42578125
940,GRMD8240401BES,2024-07-01 18:22:02,DC_DDM_Test_VancB_Hot,71.39453125
942,GRMD824060204S,2024-07-01 18:30:17,DC_DDM_Test_VancB_Hot,71.83203125
944,GRMD8240401BES,2024-07-01 18:33:56,DC_DDM_Test_VancB_Hot,71.24609375
945,RMD824210815S,2024-07-01 18:34:19,HS_PAM4Test_VancB_Hot,
948,RMD824210815S,2024-07-01 18:44:39,HS_PAM4Test_VancB_Hot,
951,RMD824210815S,2024-07-01 18:54:08,HS_PAM4Test_VancB_Hot,
954,RMD824210815S,2024-07-01 19:03:23,HS_PAM4Test_VancB_Hot,
957,RMD824210815S,2024-07-01 19:11:16,HS_PAM4Test_VancB_Hot,
996,RMD824230BD5S,2024-07-01 19:46:11,DC_DDM_Test_VancB_Hot,70.00390625
1003,RMD82423086ES,2024-07-01 19:52:14,DC_DDM_Test_VancB_Hot,69.796875
1006,RMD82423099CS,2024-07-01 19:54:57,DC_DDM_Test_VancB_Hot,70.2265625
1060,RMD824230B0DS,2024-07-01 20:38:24,DC_DDM_Test_VancB_Hot,70.00390625
1061,RMD82421044FS,2024-07-01 20:38:26,DC_DDM_Test_VancB_Hot,69.94921875
